번호,과학원번호,발견일,폐사추정일,폐사경과일,,
1,19S-0804,2019-10-02,2019-09-30,2,,
2,19S-0864,2019-10-11,2019-10-09,2,,
3,19S-0868,2019-10-11,2019-09-26,15,,
4,19S-0876,2019-10-12,2019-10-07,5,,
5,19S-0877,2019-10-12,2019-10-05,7,,
6,19S-0897,2019-10-14,2019-10-12,2,,
7,19S-0943,2019-10-15,2019-10-13,2,,
8,19S-0959,2019-10-16,2019-10-14,2,,
9,19S-0961,2019-10-16,2019-10-13,3,,
10,19S-1146,2019-10-19,2019-10-11,8,,
11,19S-1174,2019-10-20,2019-09-30,20,,
12,19S-1199,2019-10-19,2019-09-29,20,,
13,19S-1305,2019-10-23,2019-10-11,12,,
14,19S-1306,2019-10-23,2019-10-18,5,,
15,19S-1456,2019-10-24,2019-10-04,20,,
16,19S-1596,2019-10-27,2019-10-24,3,,
17,19S-1674,2019-10-29,2019-10-19,10,,
18,19S-1676,2019-10-29,2019-10-25,4,,
19,19S-1870,2019-10-31,2019-10-27,4,,
20,19S-1905,2019-11-01,2019-10-29,3,,
21,19S-2141,2019-11-06,2019-11-05,1,,
22,19S-2138,2019-11-06,2019-11-04,2,,
23,19S-2156,2019-11-06,2019-11-05,1,,
24,19S-2533,2019-11-12,2019-11-05,7,,
25,19S-2534,2019-11-12,2019-11-04,8,,
26,19S-2965,2019-11-20,2019-11-15,5,,
27,19S-3397,2019-11-26,2019-11-25,1,,
28,19S-3404,2019-11-25,2019-11-22,3,,
29,19S-3405,2019-11-26,2019-11-21,5,,
30,19S-3485,2019-11-27,2019-11-12,15,,
31,19S-3645,2019-11-28,2019-11-21,7,,
32,19S-3646,2019-11-28,2019-11-26,2,,
33,19S-3687,2019-11-27,2019-11-27,0,,
34,19S-3709,2019-11-29,2019-11-19,10,,
35,19S-3826,2019-12-02,2019-11-27,5,,
36,19S-3870,2019-12-02,2019-11-27,5,,
37,19S-3907,2019-12-03,2019-11-13,20,,
38,19S-3965,2019-12-04,2019-11-19,15,,
39,19S-4057,2019-12-05,2019-12-03,2,,
40,19S-4074,2019-12-05,2019-11-20,15,,
41,19S-4085,2019-12-04,2019-12-04,0,,
42,19S-4277,2019-12-10,2019-12-07,3,,
43,19S-4278,2019-12-10,2019-12-07,3,,
44,19S-4371,2019-12-11,2019-11-26,15,,
45,19S-4496,2019-12-11,2019-12-11,0,,
46,19S-4505,2019-12-12,2019-12-09,3,,
47,19S-4671,2019-12-16,2019-12-11,5,,
48,19S-4775,2019-12-18,2019-12-08,10,,
49,19S-4915,2019-12-18,2019-12-11,7,,
50,19S-4918,2019-12-20,2019-12-10,10,,
51,19S-4993,2019-12-23,2019-12-20,3,,
52,19S-5125,2019-12-25,2019-12-22,3,,
53,19S-5187,2019-12-27,2019-12-24,3,,
54,19S-5196,2019-12-27,2019-12-24,3,,
55,19S-5311,2019-12-30,2019-12-23,7,,
56,19S-5464,2019-12-30,2019-12-27,3,,
57,20S-0029,2020-01-02,2019-12-18,15,,
58,20S-0042,2020-01-03,2020-01-01,1.5,,
59,20S-0047,2020-01-03,2019-12-31,3,,
60,20S-0088,2020-01-04,2019-12-30,5,,
61,20S-0089,2020-01-04,2019-12-30,5,,
62,20S-0090,2020-01-04,2019-12-20,15,,
63,20S-0110,2020-01-06,2019-12-22,15,,
64,20S-0113,2020-01-06,2020-01-04,2,,
65,20S-0137,2020-01-06,2020-01-01,5,,
66,20S-0230,2020-01-07,2020-01-04,3,,
67,20S-0341,2020-01-10,2019-12-26,15,,
68,20S-0343,2020-01-10,2020-01-05,5,,
69,20S-0351,2020-01-10,2020-01-07,3,,
70,20S-0378,2020-01-11,2020-01-08,3,,
71,20S-0379,2020-01-11,2020-01-08,3,,
72,20S-0380,2020-01-11,2020-01-06,5,,
73,20S-0467,2020-01-14,2019-12-25,20,,
74,20S-0468,2020-01-14,2020-01-09,5,,
75,20S-0471,2020-01-14,2020-01-09,5,,
76,20S-0473,2020-01-14,2019-12-20,25,,
77,20S-0474,2020-01-14,2019-12-15,30,,
78,20S-0583,2020-01-14,2019-12-30,15,,
79,20S-0584,2020-01-14,2019-12-30,15,,
80,20S-0598,2020-01-15,2020-01-12,3,,
81,20S-0599,2020-01-15,2020-01-08,7,,
82,20S-0671,2020-01-15,2019-12-16,30,,
83,20S-0678,2020-01-16,2020-01-11,5,,
84,20S-0709,2020-01-17,2020-01-07,10,,
85,20S-0710,2020-01-17,2020-01-02,15,,
86,20S-0711,2020-01-17,2019-12-28,20,,
87,20S-0752,2020-01-20,2020-01-10,10,,
88,20S-0753,2020-01-20,2020-01-10,10,,
89,20S-0766,2020-01-20,2019-12-31,20,,
90,20S-0767,2020-01-20,2020-01-13,7,,
91,20S-0768,2020-01-20,2019-12-26,25,,
92,20S-0769,2020-01-20,2019-12-31,20,,
93,20S-0770,2020-01-20,2020-01-05,15,,
94,20S-0771,2020-01-20,2019-12-26,25,,
95,20S-0772,2020-01-20,2020-01-15,5,,
96,20S-0879,2020-01-22,2020-01-12,10,,
97,20S-0880,2020-01-22,2020-01-07,15,,
98,20S-0881,2020-01-22,2020-01-02,20,,
99,20S-0887,2020-01-22,2020-01-19,3,,
