,K_NAME,NES2,NES3,NES4,SENSITIVE,INVASIVE,NATIVE,NORTHERN,SOUTHERN
1,수달,1,1,1,0,0,0,0,0
2,고양이,1,1,1,0,0,0,0,0
3,너구리,1,1,1,0,0,0,0,0
4,고라니,1,1,1,0,0,0,0,0
5,여우,1,0,0,0,0,0,0,0
6,청설모,1,1,1,0,0,0,0,0
7,멧돼지,1,1,1,0,0,0,0,0
8,산양,1,1,1,0,0,0,0,0
9,노루,1,1,1,0,0,0,0,0
10,늑대,1,0,0,0,0,0,0,0
11,하늘다람쥐,1,1,1,0,0,0,0,0
12,대륙족제비,1,0,0,0,0,0,0,0
13,멧토끼,1,1,1,0,0,0,0,0
14,다람쥐,1,1,1,0,0,0,0,0
15,개,1,1,1,0,0,0,0,0
16,오소리,1,1,1,0,0,0,0,0
17,염소,1,1,1,0,0,0,0,0
18,삵,1,1,1,0,0,0,0,0
19,고슴도치,1,1,1,0,0,0,0,0
20,담비,1,1,1,0,0,0,0,0
21,집쥐,1,1,1,0,0,0,0,0
22,멧밭쥐,1,1,1,0,0,0,0,0
23,땃쥐,1,1,0,0,0,0,0,0
24,생쥐,1,1,1,0,0,0,0,0
25,등줄쥐,1,1,1,0,0,0,0,0
26,흰넓적다리붉은쥐,1,1,1,0,0,0,0,0
27,대륙밭쥐,1,1,1,0,0,0,0,0
28,두더지,1,1,1,0,0,0,0,0
29,애급쥐,1,1,0,0,0,0,0,0
30,작은땃쥐,1,1,1,0,0,0,0,0
31,비단털들쥐,1,1,1,0,0,0,0,0
32,관박쥐,1,1,1,0,0,0,0,0
33,표범,1,0,0,0,0,0,0,0
34,비단털쥐,1,1,1,0,0,0,0,0
35,집박쥐,1,1,1,0,0,0,0,0
36,뉴트리아,1,1,1,0,1,0,0,0
37,갈밭쥐,1,1,1,0,0,0,0,0
38,고바야시박쥐,1,0,0,0,0,0,0,0
39,큰귀박쥐,1,0,0,0,0,0,0,0
40,긴가락박쥐,1,0,1,0,0,0,0,0
41,대륙사슴,1,1,0,0,0,0,0,0
42,뒤쥐,1,0,1,0,0,0,0,0
43,멧박쥐,1,0,0,0,0,0,0,0
44,무산흰족제비,1,0,0,0,0,0,0,0
45,반달가슴곰,1,0,0,0,0,0,0,0
46,백두산사슴,1,0,0,0,0,0,0,0
47,북방토끼,1,0,0,0,0,0,0,0
48,붉은박쥐,1,1,1,0,0,0,0,0
49,사향노루,1,1,1,0,0,0,0,0
50,산달,1,0,0,0,0,0,0,0
51,생박쥐,1,0,0,0,0,0,0,0
52,쇠뒤쥐,1,0,0,0,0,0,0,0
53,쇠큰수염박쥐,1,0,0,0,0,0,0,0
54,숲들쥐,1,0,0,0,0,0,0,0
55,승냥이,1,0,0,0,0,0,0,0
56,시라소니,1,0,0,0,0,0,0,0
57,우수리박쥐,1,0,1,0,0,0,0,0
58,제주긴발뒤쥐,1,0,0,0,0,0,0,0
59,제주등줄쥐,1,0,0,0,0,0,0,0
60,제주땃쥐,1,1,1,0,0,0,0,0
61,제주멧밭쥐,1,0,0,0,0,0,0,0
62,제주족제비,1,0,0,0,0,0,0,0
63,큰발윗수염박쥐,1,0,1,0,0,0,0,0
64,호랑이,1,0,0,0,0,0,0,0
65,흰배윗수염박쥐,1,0,1,0,0,0,0,0
66,사향쥐,1,0,0,0,0,0,0,0
67,들고양이,1,0,0,0,0,0,0,0
68,족제비,0,1,1,0,0,0,0,0
69,무산쇠족제비,0,1,1,0,0,0,0,0
70,토끼박쥐,0,1,0,0,0,0,0,0
71,우수리박쥐(물윗수염박쥐),0,1,0,0,0,0,0,0
72,긴날개박쥐(긴가락박쥐),0,1,0,0,0,0,0,0
73,검은집박쥐,0,1,0,0,0,0,0,0
74,붉은사슴,0,1,1,0,0,0,0,0
75,사슴,0,0,1,0,0,0,0,0
76,우수리땃쥐,0,0,1,0,0,0,0,0
77,돌고래,0,0,1,0,0,0,0,0
78,문둥이박쥐,0,0,1,0,0,0,0,0
79,양박쥐,0,0,1,0,0,0,0,0
80,큰집박쥐,0,0,1,0,0,0,0,0
81,관코박쥐,0,0,1,0,0,0,0,0
82,대륙쇠큰수염박쥐,0,0,1,0,0,0,0,0
83,큰수염박쥐,0,0,1,0,0,0,0,0
84,쇠윗수염박쥐,0,0,1,0,0,0,0,0
85,북방애기박쥐,0,0,1,0,0,0,0,0
86,안주애기박쥐,0,0,1,0,0,0,0,0
