,K_NAME,S_NAME,REMARK,LONGITUDE,LATITUDE,SOURCE
7,¸äµÅÁö,Sus scrofa,,127.9605778,37.95675211,NES2
29,¸äµÅÁö,Sus scrofa,,127.9925799,37.94384638,NES2
43,¸äµÅÁö,Sus scrofa,,127.8320519,37.92154936,NES2
63,¸äµÅÁö,Sus scrofa,,127.9015665,37.85806398,NES2
72,¸äµÅÁö,Sus scrofa,,127.9101791,37.84752752,NES2
115,¸äµÅÁö,Sus scrofa,,127.6032812,37.80380869,NES2
122,¸äµÅÁö,Sus scrofa,,127.747273,37.69758212,NES2
146,¸äµÅÁö,Sus scrofa,,128.4758643,37.8857026,NES2
147,¸äµÅÁö,Sus scrofa,,128.4865243,37.8902679,NES2
148,¸äµÅÁö,Sus scrofa,,128.4673973,37.87857675,NES2
150,¸äµÅÁö,Sus scrofa,,128.4456045,37.86855947,NES2
155,¸äµÅÁö,Sus scrofa,,128.5414142,37.89363937,NES2
156,¸äµÅÁö,Sus scrofa,,128.5712133,37.89345701,NES2
157,¸äµÅÁö,Sus scrofa,,128.558128,37.87960197,NES2
160,¸äµÅÁö,Sus scrofa,,128.5680071,37.87706082,NES2
162,¸äµÅÁö,Sus scrofa,,128.5753849,37.99517482,NES2
163,¸äµÅÁö,Sus scrofa,,128.5765756,37.99365301,NES2
165,¸äµÅÁö,Sus scrofa,,128.5832646,37.97854761,NES2
166,¸äµÅÁö,Sus scrofa,,128.5837282,37.97735819,NES2
176,¸äµÅÁö,Sus scrofa,,127.413262,37.67656464,NES2
225,¸äµÅÁö,Sus scrofa,,128.036826,36.53066885,NES2
226,¸äµÅÁö,Sus scrofa,,128.035375,36.53132094,NES2
231,¸äµÅÁö,Sus scrofa,,128.0351897,36.49544334,NES2
234,¸äµÅÁö,Sus scrofa,,128.0332303,36.50172067,NES2
255,¸äµÅÁö,Sus scrofa,,127.6979102,36.63297186,NES2
272,¸äµÅÁö,Sus scrofa,,127.774732,36.70235747,NES2
298,¸äµÅÁö,Sus scrofa,,127.6865605,36.07060769,NES2
309,¸äµÅÁö,Sus scrofa,,127.7087477,36.07202556,NES2
323,¸äµÅÁö,Sus scrofa,,127.851581,36.16308902,NES2
360,¸äµÅÁö,Sus scrofa,,128.305699,36.21656998,NES2
379,¸äµÅÁö,Sus scrofa,,128.3103264,36.18643885,NES2
385,¸äµÅÁö,Sus scrofa,,128.3295,36.18190881,NES2
396,¸äµÅÁö,Sus scrofa,,128.3042253,36.17008554,NES2
400,¸äµÅÁö,Sus scrofa,,128.3074808,36.17548941,NES2
411,¸äµÅÁö,Sus scrofa,,128.2783425,36.16617911,NES2
423,¸äµÅÁö,Sus scrofa,,128.3292654,36.16776821,NES2
473,¸äµÅÁö,Sus scrofa,,128.0290525,35.96229505,NES2
477,¸äµÅÁö,Sus scrofa,,128.046197,35.96640341,NES2
486,¸äµÅÁö,Sus scrofa,,128.0648447,35.9988008,NES2
497,¸äµÅÁö,Sus scrofa,,128.0766621,35.98461909,NES2
508,¸äµÅÁö,Sus scrofa,,128.2607809,35.44484318,NES2
512,¸äµÅÁö,Sus scrofa,,128.2821292,35.44873337,NES2
520,¸äµÅÁö,Sus scrofa,,128.3262627,35.42449661,NES2
523,¸äµÅÁö,Sus scrofa,,128.3548304,35.42996224,NES2
525,¸äµÅÁö,Sus scrofa,,128.3380182,35.4455498,NES2
542,¸äµÅÁö,Sus scrofa,,128.3166881,35.40997216,NES2
547,¸äµÅÁö,Sus scrofa,,128.027581,35.49914433,NES2
553,¸äµÅÁö,Sus scrofa,,128.0455384,35.49632052,NES2
571,¸äµÅÁö,Sus scrofa,,128.1167968,35.49683145,NES2
582,¸äµÅÁö,Sus scrofa,,128.0936081,35.98194262,NES2
589,¸äµÅÁö,Sus scrofa,,128.0624116,35.95499684,NES2
592,¸äµÅÁö,Sus scrofa,,128.0523659,35.9551145,NES2
594,¸äµÅÁö,Sus scrofa,,128.0445711,35.95114191,NES2
607,¸äµÅÁö,Sus scrofa,,128.042485,35.93868288,NES2
620,¸äµÅÁö,Sus scrofa,,128.0689364,36.01819137,NES2
625,¸äµÅÁö,Sus scrofa,,128.0632863,36.00937243,NES2
635,¸äµÅÁö,Sus scrofa,,128.2343181,35.99898347,NES2
647,¸äµÅÁö,Sus scrofa,,127.5911816,35.93621289,NES2
657,¸äµÅÁö,Sus scrofa,,127.5976696,35.83805819,NES2
674,¸äµÅÁö,Sus scrofa,,127.8663896,35.15104727,NES2
716,¸äµÅÁö,Sus scrofa,,128.1878271,36.0749596,NES2
728,¸äµÅÁö,Sus scrofa,,128.2097554,36.03015377,NES2
735,¸äµÅÁö,Sus scrofa,,128.2070073,36.00558989,NES2
743,¸äµÅÁö,Sus scrofa,,128.3132453,35.97937919,NES2
753,¸äµÅÁö,Sus scrofa,,128.3361745,35.96851667,NES2
779,¸äµÅÁö,Sus scrofa,,128.3506077,35.94525362,NES2
790,¸äµÅÁö,Sus scrofa,,128.2651099,36.06132212,NES2
